hcp_id,hcp_specialty,t1_diag_pat,t1_treated_pat,total_unique_pat_treated,unique_cancer_treated,t1_nps,t1_platinum_pat,t1_platinum_pat_1L,comp_a_claims,comp_r_claims,comp_z_claims,t1_pat_1L,t1_pat_2Lplus,t1_calls,t2_calls,t1_avg_gap,t2_avg_gap,Display_Impressions,Email_Opens,e-Newsletters_Opens,e-Newsletters_Sent,Display- eNewsletters_Sent,In App_Impressions,In-office Video/ Wallboards_Deli,Email_Delivered_EM,Direct Mail_Delivered_DM,Display- Targeted/Programmatic_I,Text Ad_Clicks,admisson_impressions,print_exposure,ABC_t1_nps
1,Oncology,601,160,169,5,27,62,34,239,0,1,41,73,21,0.5,45.81818182,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0
2,Others,236,137,143,5,2,49,27,99,0,0,32,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oncology,438,132,147,6,35,50,29,162,0,0,36,56,7,0,97,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
4,Oncology,328,130,145,8,12,40,22,78,21,2,28,38,8,3,75.875,24.66666667,0,0,0,0,0,0,0,0,1,0,1,32,0.119520958,1
5,Oncology,555,112,120,6,22,19,9,410,0,1,51,58,6,0.5,98.46153846,0,0,0,0,0,0,0,0,3,1,0,0,7,0,0
6,Gynecology,338,109,115,4,35,43,24,111,0,2,26,45,9,0.5,59,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1
7,Others,178,105,113,5,3,39,20,52,0,0,25,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Oncology,442,103,105,2,21,43,27,312,0,16,34,33,21.5,0,48.625,0,38,0,0,4,3,0,0,1,1,0,0,38,0,1
9,Oncology,401,102,117,5,25,40,23,218,0,4,29,55,19.5,1,34,0,3,0,0,4,0,0,0,0,1,0,0,5,0,0
10,Oncology,292,97,105,5,34,25,14,41,1,6,23,28,9,0,18.83333333,0,3,0,4,6,0,0,0,0,0,12,0,120,0,1
11,Gynecology,262,93,97,4,15,25,5,57,4,0,18,34,4,0,185.1666667,0,0,0,0,0,0,0,0,3,1,2,0,5,0,0
12,Oncology,347,90,99,6,18,49,32,69,0,0,34,32,15,0.5,57,0,0,0,0,8,0,0,0,0,1,3,0,69,0,1
13,Gynecology,200,89,97,6,8,35,20,48,0,0,23,41,1,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Oncology,390,88,175,8,22,58,25,120,0,69,33,53,2,0.5,142.5,0,0,0,0,0,6,0,0,3,1,0,0,7,0,1
15,Oncology,238,86,90,5,14,20,11,150,0,14,19,33,4,0,43.35294118,0,0,8,0,2,0,0,0,3,1,0,0,1,0.119520958,0
16,Oncology,226,86,100,4,15,21,12,95,2,0,19,28,6,0,126.9375,0,0,0,0,1,3,0,0,4,1,0,0,0,0.119489724,1
17,Oncology,222,85,88,4,35,9,9,53,0,0,22,14,10,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Oncology,278,84,936,7,18,49,31,135,0,6,38,42,10,2.5,38.75,0,0,1,0,0,4,0,0,3,1,1,0,0,0.119489724,1
19,Gynecology,360,84,105,7,28,61,34,90,0,15,41,39,14,0,72.25,0,0,0,0,2,0,0,0,7,1,3,0,0,0,0
20,Oncology,170,84,1274,9,12,43,26,70,0,0,33,37,30.5,19.5,0,0,4,1,16,16,1,0,0,1,0,0,0,89,0.119520958,0
21,Oncology,251,83,95,6,19,31,15,60,3,2,26,30,9,0,86,0,1,0,1,4,7,0,0,5,1,4,1,15,0.119489724,1
22,Oncology,209,83,94,5,16,31,15,72,0,10,24,36,8,0,128.8148148,0,0,0,0,0,10,0,0,0,1,2,0,37,0,1
23,Oncology,189,81,106,6,39,34,32,52,0,4,38,22,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71,0.119489724,1
24,Oncology,713,81,100,5,29,56,41,204,25,0,46,36,33.5,2,14.04545455,0,0,0,0,0,3,0,10,0,1,0,0,0,0,0
25,Oncology,212,80,82,2,6,4,2,2,0,0,13,13,5,0,0,0,0,1,0,0,3,0,0,4,1,0,0,10,0,0
26,Oncology,441,79,91,5,19,42,23,167,3,6,32,46,20,3,39.28571429,0,0,0,0,3,10,0,0,0,1,0,0,77,0,1
27,Gynecology,247,79,82,5,27,57,29,227,1,6,32,45,35,3.5,22.73404255,22.14285714,1,0,3,4,8,0,0,2,1,42,0,155,0,1
28,Oncology,490,79,284,8,28,57,40,16,0,4,41,35,31.5,13,47.82758621,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29,Gynecology,353,78,87,6,26,53,37,119,0,2,39,42,8,0,96.2,0,0,0,0,0,0,0,0,1,1,4,1,45,0,1
30,Oncology,313,77,82,4,26,44,35,187,2,8,40,38,31,1,16.13513514,0,0,0,0,0,0,0,0,3,1,4,0,3,0,1
31,Oncology,293,77,91,6,27,39,30,108,34,1,35,32,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
32,Gynecology,389,76,155,8,26,52,39,101,27,0,39,38,35,2.5,43.5,0,0,0,0,0,8,1,1,2,1,0,1,0,0,0
33,Others,114,76,89,7,2,37,20,25,0,0,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Oncology,402,76,90,6,16,36,20,79,8,6,30,43,18,2.5,29,0,0,0,0,0,0,0,0,3,0,3,0,34,0,1
35,Gynecology,323,75,80,6,17,60,34,28,2,6,35,56,10,1,18.83333333,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
36,Oncology,380,75,83,6,24,51,28,195,0,0,28,39,27,4,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0
37,Oncology,325,74,166,8,14,47,21,107,0,38,25,50,6,1.5,162,0,26,0,0,4,0,0,0,5,1,0,0,1,0,1
38,Oncology,378,74,181,7,20,47,34,64,0,0,37,38,11,0,34.63636364,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
39,Oncology,197,73,860,9,26,47,35,49,0,3,39,29,16,4,53.45454545,0,77,0,0,0,9,0,0,0,1,0,2,0,0.119489724,1
40,Oncology,463,72,83,5,22,45,30,76,0,6,33,41,31,3,16.74193548,0,0,1,0,0,0,0,0,10,0,10,0,18,0,1
41,Oncology,367,71,79,5,15,54,24,111,0,0,27,45,10,0.1,395.3684211,0,0,0,0,0,0,0,0,4,1,3,0,4,0,1
42,Gynecology,315,71,82,5,22,45,31,40,0,0,31,36,21,0.5,18.5,0,0,1,0,4,0,0,20,4,0,20,0,57,0,1
43,Oncology,355,70,79,4,16,33,25,202,5,0,28,43,24,0,71.5,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0
44,Others,224,69,81,4,1,20,12,19,0,0,14,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Oncology,380,69,136,9,13,43,25,120,0,26,27,42,15,0,0,0,0,7,0,4,0,0,0,5,1,4,0,22,0,1
46,Gynecology,424,68,125,8,19,42,32,50,0,6,36,30,5,0.1,113.375,0,0,0,0,0,4,0,0,5,1,1,0,2,0,1
47,Oncology,162,67,78,5,16,22,11,105,0,4,21,21,3,0,50.26470588,0,0,0,1,4,3,0,0,0,0,0,0,0,0.119489724,1
48,Gynecology,183,66,67,4,14,24,7,3,0,0,7,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,Gynecology,313,66,86,7,17,36,24,118,0,0,25,26,27,2,63.125,0,2,0,3,3,0,0,0,0,0,0,0,134,0,0
50,Oncology,357,65,95,9,18,41,30,54,0,0,32,28,10,0,62.75,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
51,Oncology,143,65,1238,9,8,35,19,68,0,0,21,32,17.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119489724,0
52,Oncology,352,65,70,4,14,34,23,102,0,0,27,28,15.5,0,27.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Oncology,164,65,68,4,10,1,1,0,0,0,10,13,5,0,0,0,0,3,0,8,3,0,0,3,1,2,0,50,0,0
54,Gynecology,233,64,75,5,18,26,19,29,0,0,23,23,5,0.5,74.2,58.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Gynecology,273,64,80,6,21,35,22,45,4,0,25,31,20.5,0,14.42105263,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1
56,Others,186,63,71,5,4,22,11,52,0,0,22,31,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Oncology,186,63,65,2,12,1,1,1,0,0,8,11,5,0,0,0,0,2,0,1,4,0,0,6,1,5,0,91,0,0
58,Oncology,537,62,72,5,20,36,22,266,2,0,26,40,9,1,66.85,0,0,1,0,4,7,0,0,8,1,0,0,2,0,0
59,Oncology,341,62,105,8,10,41,33,95,0,3,37,24,19,1,56.3,0,0,0,0,0,3,0,0,1,1,0,0,45,0,1
60,Gynecology,154,62,67,4,15,20,19,12,0,0,21,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0
61,Gynecology,416,62,140,8,24,46,29,95,4,19,31,33,37,2.5,24.31818182,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,Oncology,265,61,63,3,17,39,21,45,2,17,23,34,27,0,24.48148148,0,0,0,0,0,0,0,0,9,1,0,0,52,0,0
63,Oncology,332,61,127,9,14,44,21,37,1,52,21,39,7,1.5,0,0,0,0,0,4,0,0,0,0,1,0,0,18,0,1
64,Oncology,167,61,62,2,9,8,4,37,1,1,11,23,7,0,136.1071429,0,0,0,0,0,3,0,0,4,1,3,0,89,0.119489724,0
65,Gynecology,360,61,66,3,20,43,29,96,0,20,33,29,14,0.1,87.5,0,0,0,0,0,0,0,10,5,1,6,0,0,0,1
66,Gynecology,256,61,74,5,10,45,30,54,0,0,31,26,24,0,0,0,0,0,0,0,5,0,0,1,1,0,0,28,0,0
67,Others,67,60,276,9,8,31,21,27,0,0,31,23,1.2,3.1,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0
68,Oncology,97,60,250,9,7,38,29,42,0,0,35,24,1.6,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
69,Oncology,105,59,70,4,13,25,14,30,31,43,26,29,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,34,0,0
70,Oncology,250,58,67,5,2,16,9,2,2,0,16,17,14,0,0,0,0,0,0,4,0,0,0,0,1,0,0,11,0,0
71,Oncology,303,58,64,3,22,39,29,31,0,6,32,23,15,0,25.2,0,63,0,0,0,0,0,0,0,1,0,0,86,0,1
72,Oncology,147,58,125,8,35,53,47,88,0,2,48,11,16,7.7,35,0,0,0,0,0,0,0,0,0,1,0,1,16,0.119489724,1
73,Oncology,307,57,61,3,10,23,18,50,0,0,22,24,11,0,0,0,0,0,0,0,4,0,0,0,1,5,0,209,0,0
74,Oncology,151,57,64,5,9,17,13,34,0,17,17,18,3,0,169.2857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119489724,1
75,Gynecology,229,56,68,6,15,27,22,37,49,0,25,26,24,0.5,21.25,0,0,0,0,0,0,0,0,4,1,0,0,15,0,0
76,Gynecology,177,56,59,4,14,22,16,68,0,0,17,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Oncology,290,56,62,5,15,36,22,196,0,6,24,33,40,3.5,11.86666667,0,0,0,1,4,0,0,10,4,1,1,0,15,0,1
78,Oncology,112,56,577,9,12,39,24,51,0,0,26,32,5.5,10,0,0,0,1,0,0,12,0,0,3,1,0,0,15,0.119489724,0
79,Gynecology,325,55,63,5,16,38,20,63,0,24,23,33,27,2,0,0,0,0,0,0,5,0,0,4,1,0,0,150,0,1
80,Oncology,194,55,65,6,9,18,9,39,3,0,14,22,9,0,121.9310345,0,0,0,1,4,8,0,0,4,1,0,0,4,0.119489724,1
81,Oncology,350,54,64,4,11,38,25,47,1,5,26,27,19,1,10.4,70.5,0,1,0,3,2,0,20,4,0,0,0,9,0,1
82,Oncology,273,54,90,6,15,39,27,77,0,11,30,26,4,0,0,0,0,0,0,4,10,0,0,0,1,0,0,85,0,0
83,Gynecology,161,54,58,6,18,31,19,160,1,20,21,32,17.5,0,46.25806452,0,0,0,0,0,5,0,0,4,1,0,0,1,0,0
84,Oncology,440,54,63,4,14,31,17,108,22,0,20,36,17,0,33.94366197,0,0,0,0,0,0,0,0,4,1,9,0,39,0,1
85,Gynecology,294,54,58,5,10,23,9,82,0,8,13,28,7,0.5,131.6363636,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
